series,episode,baker,result,signature
3,1,Manisha,IN,"Vanilla, Peach and Raspberry Upside Down Cake"
3,1,Peter,IN,"Pear, Muscat & Chocolate Upside Down Cake"
3,1,Ryan,IN,Kumquat and Orange Polenta Upside Down Cake
3,1,Sarah-Jane,IN,"Pear, Chocolate and Hazelnut Upside Down Cake"
3,1,Stuart,IN,Tomato and Ginger Upside Down Cake
3,1,Natasha,OUT,Pineapple & Passion Fruit Upside Down Cake
3,1,Victoria,STAR BAKER,Pear and Pecan Upside Down Cake
3,2,Brendan,IN,Middle Eastern Taboon Bread Indian Roti
3,2,Cathryn,IN,"Spiced Mango Naan Lime, Coriander and Chilli Tortillas"
3,2,Danny,IN,Lime Coriander and Coconut Tortillas Zaatar Naan with Dukkah
3,2,James,IN,"Tomato, Garlic, and Parmesan Flatbreads Tattie Scones"
3,2,Manisha,IN,Indian Flatbreads Italian Flatbreads
3,2,Ryan,IN,Shanghai Spring Onion Flatbreads Garlic and Coriander Naan
3,2,Sarah-Jane,IN,Coconut RotiOatcakes
3,2,Stuart,IN,Bombay Bread Chorizo and Spring Onion Naan
3,2,Victoria,IN,Coriander and Lemon Naan Garlic and Parsnip Chapatis
3,2,Peter,OUT,Fennel and Nigella Seed Naan Bannock Bread
3,2,John,STAR BAKER,"Coriander and Chilli Rotis Garlic, Pomegranate and Potato Pitas"
3,3,Brendan,IN,Apple and Ginger Tarte Tatin
3,3,Cathryn,IN,"Plum, Cherry and Five Spice Tarte Tatin"
3,3,Danny,IN,Savoury Pear and Roquefort Tarte Tatin
3,3,John,IN,Apple and Vanilla Tarte Tatin with Walnut Praline
3,3,Manisha,IN,"Cinnamon, Apple and Pear Tarte Tatin"
3,3,Ryan,IN,Spiced Pear Tarte Tatin
3,3,Sarah-Jane,IN,Caramelised Banana Tarte Tatin
3,3,Stuart,IN,Pear and Almond Tarte Tatin
3,3,Victoria,OUT,"Fig, Walnut and Pink Peppercorn Tarte Tatin"
3,3,James,STAR BAKER,Apple and Lavender Tarte Tatin
3,4,Cathryn,IN,"White Chocolate, Macadamia and Coffee Torte"
3,4,Danny,IN,"Blackberry, White Chocolate, Lemon and Elderflower Torte"
3,4,James,IN,"Hazelnut, Chocolate and Passionfruit Torte"
3,4,John,IN,'Torte Noir' Black Forest Torte with Boozy Cream
3,4,Manisha,IN,"Almond, Chocolate and Cherry Torte"
3,4,Ryan,IN,Green Tea Opera Torte
3,4,Sarah-Jane,IN,Chocolate and Almond Truffle Torte
3,4,Stuart,OUT,Black Forest Torte
3,4,Brendan,STAR BAKER,Clementine and Chestnut Torte
3,5,Brendan,IN,Salmon Coulibiac in a Scandinavian Pastry
3,5,Cathryn,IN,Full English Wellington
3,5,Danny,IN,"Chickpea, Spinach & Mushroom Wellington"
3,5,James,IN,Four Pig Wellington
3,5,John,IN,Venison and Haggis Wellington
3,5,Sarah-Jane,IN,Beef Wellington with Parma Ham and Gorgonzola Cheese
3,5,Manisha,OUT,Lamb Wellington with Rosemary and Mint
3,5,Ryan,STAR BAKER,Curry Spiced Seabass Wellington
3,6,Cathryn,IN,Chocolate Walnut Whip Puddings Elderflower Sponges
3,6,Danny,IN,Banoffee Puddings with Walnut Butterscotch Sauce Jubilee Chocolate Fondants
3,6,James,IN,Banana and Clove Puddings Clootie Dumplings
3,6,John,IN,Spicy Toffee Puddings Raspberry and White Chocolate Puddings
3,6,Ryan,IN,Chocolate Fondants Sticky Ginger and Date Puddings
3,6,Sarah-Jane,IN,Sticky Toffee Puddings Granny's Saucy Lemon Puddings
3,6,Brendan,STAR BAKER,"Rhubarb, Strawberry and Ginger Puddings Sticky Toffee Puddings"
3,7,Brendan,IN,Chelsea Bunskis
3,7,Cathryn,IN,Lady Arundel's Manchet Buns
3,7,James,IN,Easter Chelsea Buns
3,7,John,IN,Cherry and Almond Saffron Buns
3,7,Ryan,OUT,Lardy Cakes
3,7,Sarah-Jane,OUT,"Orange, Nutmeg and Saffron Buns"
3,7,Danny,STAR BAKER,Bakewell Chelsea Buns
3,8,Brendan,IN,Multi-Seed Savoury Crackers
