name,usps,pop2021,pop2010,growth,density,aland_sqmi
Salem,OR,177803,155247,0.1453,3652,48.691
Pembroke Pines,FL,176823,155265,0.1388,5412,32.673
Santa Rosa,CA,176759,175238,0.0087,4157,42.519
Eugene,OR,176464,156527,0.1274,3998,44.138
Oceanside,CA,175710,168079,0.0454,4259,41.256
Cary,NC,174762,137086,0.2748,2976,58.725
Fort Collins,CO,174081,145268,0.1983,3044,57.182
Corona,CA,172652,153052,0.1281,4318,39.986
Enterprise,NV,171108,108481,0.5773,3347,51.129
Garden Grove,CA,170542,171181,-0.0037,9497,17.957
Springfield,MO,168568,159376,0.0577,2046,82.392
Clarksville,TN,161686,133486,0.2113,1637,98.796
Bayamon,PR,161034,185996,-0.1342,5969,26.978
Lakewood,CO,160441,142759,0.1239,3727,43.047
Alexandria,VA,160146,140729,0.138,10724,14.934
Hayward,CA,158089,144835,0.0915,3472,45.537
Murfreesboro,TN,157816,109572,0.4403,2557,61.709
Killeen,TX,157632,129024,0.2217,2890,54.545
Hollywood,FL,155689,141013,0.1041,5709,27.269
Lancaster,CA,155559,156824,-0.0081,1650,94.281
Salinas,CA,155101,150887,0.0279,6620,23.428
Jackson,MS,154340,173698,-0.1114,1389,111.086
Midland,TX,153768,111276,0.3819,2067,74.383
Macon County,GA,153671,155814,-0.0138,616,249.398
Kansas City,KS,152950,145878,0.0485,1225,124.815
Palmdale,CA,152921,152936,-0.0001,1442,106.076
Sunnyvale,CA,152495,140462,0.0857,6922,22.03
Springfield,MA,152160,153569,-0.0092,4775,31.869
Escondido,CA,151289,144440,0.0474,4054,37.314
Pomona,CA,151223,149107,0.0142,6580,22.982
Bellevue,WA,150364,128357,0.1715,4494,33.461
Surprise,AZ,149558,117643,0.2713,1384,108.063
Naperville,IL,149167,142402,0.0475,3843,38.811
Pasadena,TX,148215,149523,-0.0087,3401,43.586
Denton,TX,147993,117010,0.2648,1538,96.236
Roseville,CA,146594,119916,0.2225,3326,44.079
Joliet,IL,146572,147524,-0.0065,2285,64.152
Thornton,CO,145688,119391,0.2203,4059,35.891
McAllen,TX,144744,132093,0.0958,2203,65.698
Paterson,NJ,144511,146391,-0.0128,17177,8.413
Rockford,IL,144213,153147,-0.0583,2240,64.379
Carrollton,TX,143718,119564,0.202,3919,36.669
Bridgeport,CT,143653,144864,-0.0084,8943,16.064
Miramar,FL,142445,122300,0.1647,4937,28.853
Round Rock,TX,142418,100772,0.4133,3933,36.213
Metairie,LA,142135,138481,0.0264,6111,23.259
Olathe,KS,142119,126269,0.1255,2306,61.642
West Hollywood,CA,34938,34399,0.0157,18939,1.89
