Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment,Category,Segment_Category
115,Cafe Rio mexican Grill,273,2.00%,135,7.10%,Fast Casual,Mexican,Fast Casual & Mexican
116,Saltgrass Steak House,272,-32.00%,88,0.00%,Casual Dining,Steak,Casual Dining & Steak
117,Schlotzsky's,271,-15.60%,333,-5.10%,Fast Casual,Sandwich,Fast Casual & Sandwich
118,Peet's Coffee,269,-18.50%,367,-6.10%,Quick Service,Coffee Cafe,Quick Service & Coffee Cafe
119,Dickey's Barbecue Pit,266,-24.00%,473,-6.30%,Fast Casual,All Other,Fast Casual & All Other
120,The Honey Baked Ham Co.,264,-13.00%,411,-0.70%,Quick Service,Sandwich,Quick Service & Sandwich
121,Twin Peaks,259,-22.70%,78,-7.10%,Casual Dining,Sports Bar,Casual Dining & Sports Bar
122,Logan's Roadhouse,256,-48.00%,138,-32.40%,Casual Dining,Steak,Casual Dining & Steak
123,Wienerschnitzel,255,-9.00%,328,-0.30%,Quick Service,Sandwich,Quick Service & Sandwich
124,Cicis,255,-35.50%,318,-19.50%,Quick Service,Pizza,Quick Service & Pizza
125,Famous Dave's,254,-27.00%,122,-4.70%,Casual Dining,All Other,Casual Dining & All Other
126,Braum's Ice Cream & Dairy Stores,252,-6.00%,290,0.70%,Quick Service,Frozen Desserts,Quick Service & Frozen Desserts
127,Taco Cabana,250,-19.70%,149,-13.40%,Fast Casual,Mexican,Fast Casual & Mexican
128,Godfather's Pizza,249,3.50%,570,0.20%,Quick Service,Pizza,Quick Service & Pizza
129,Black Bear Diner,246,-27.00%,143,3.60%,Midscale,Family Style,Midscale & Family Style
130,Caribou Coffee,242,-17.00%,385,-4.50%,Quick Service,Coffee Cafe,Quick Service & Coffee Cafe
131,Fazoli's,240,0.80%,213,-0.90%,Fast Casual,Sandwich,Fast Casual & Sandwich
132,Golden Chick,230,17.70%,198,7.60%,Quick Service,Chicken,Quick Service & Chicken
133,On The Border Mexican Grill & Cantina,221,-32.80%,122,-9.60%,Casual Dining,Mexican,Casual Dining & Mexican
134,Sarku Japan,219,-22.00%,215,-4.00%,Quick Service,Asian,Quick Service & Asian
135,A&W All-American Food,216,-5.00%,553,-3.80%,Quick Service,Burger,Quick Service & Burger
136,Ninety Nine Restaurants,215,-32.10%,103,-4.60%,Casual Dining,Varied Menu,Casual Dining & Varied Menu
137,Penn Station East Coast Subs,212,5.20%,311,0.60%,Fast Casual,Sandwich,Fast Casual & Sandwich
138,Fleming's Prime Steakhouse & Wine Bar,210,-31.80%,63,-7.40%,Fine Dining,Steak,Fine Dining & Steak
139,Big Boy/Frisch's Big Boy,208,-38.50%,182,-6.20%,Midscale,Family Style,Midscale & Family Style
140,Mountain Mike's Pizza,206,13.30%,228,6.00%,Quick Service,Pizza,Quick Service & Pizza
141,Donatos Pizza,204,14.30%,168,5.00%,Fast Casual,Pizza,Fast Casual & Pizza
