,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
9671,3838,CAFE PICARO,3120 16th St,San Francisco,CA,94103,37.764908,-122.422442,"{'longitude': '-122.422442', 'latitude': '37.764908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155434089.0,3838_20180222,2018-02-22T00:00:00.000,72.0,Routine - Unscheduled,3838_20180222_103142,Unclean nonfood contact surfaces,Low Risk,19.0,4.0,5.0,8.0,28853.0,20.0
9679,63619,Subway Sandwiches,77 Van Ness Ave #100,San Francisco,CA,94102,37.776133,-122.419484,"{'longitude': '-122.419484', 'latitude': '37.776133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155981866.0,63619_20170919,2017-09-19T00:00:00.000,92.0,Routine - Unscheduled,63619_20170919_103154,Unclean or degraded floors walls or ceilings,Low Risk,36.0,9.0,9.0,7.0,28852.0,36.0
9695,7786,DIANDA'S ITAL-AMER.PASTRY CO.,2883 Mission St,San Francisco,CA,94110,37.750959,-122.418264,"{'longitude': '-122.418264', 'latitude': '37.750959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155645469.0,7786_20171018,2017-10-18T00:00:00.000,85.0,Routine - Unscheduled,7786_20171018_103129,Insufficient hot water or running water,Moderate Risk,19.0,4.0,7.0,2.0,28859.0,20.0
9707,1635,KEZAR PUB,770 Stanyan St,San Francisco,CA,94117,37.767828,-122.453227,"{'longitude': '-122.453227', 'latitude': '37.767828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155389292.0,1635_20171215,2017-12-15T00:00:00.000,91.0,Routine - Unscheduled,1635_20171215_103114,High risk vermin infestation,High Risk,9.0,5.0,11.0,15.0,29492.0,3.0
9708,64379,Piccadilly Fish & Chips,1348 Polk St,San Francisco,CA,94109,37.789299,-122.420352,"{'longitude': '-122.420352', 'latitude': '37.789299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155776477.0,64379_20161024,2016-10-24T00:00:00.000,90.0,Routine - Unscheduled,64379_20161024_103161,Low risk vermin infestation,Low Risk,21.0,9.0,10.0,13.0,28858.0,21.0
9718,7645,LUCKY PORK MARKET,2659 MISSION St,San Francisco,CA,94110,37.754513,-122.418626,"{'longitude': '-122.418626', 'latitude': '37.754513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155644805.0,7645_20181023,2018-10-23T00:00:00.000,86.0,Routine - Unscheduled,7645_20181023_103120,Moderate risk food holding temperature,Moderate Risk,19.0,4.0,7.0,2.0,28859.0,20.0
9721,69769,Whole Foods Market,1150 Ocean Ave,San Francisco,CA,94112,37.723652,-122.45461,"{'longitude': '-122.45461', 'latitude': '37.723652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155337400.0,69769_20180725,2018-07-25T00:00:00.000,90.0,Routine - Unscheduled,69769_20180725_103144,Unapproved or unmaintained equipment or utensils,Low Risk,40.0,8.0,4.0,9.0,28861.0,41.0
9726,5955,SF CHRISTIAN DAY SCHOOL,25 WHITTIER St,San Francisco,CA,94112,37.709896,-122.448082,"{'longitude': '-122.448082', 'latitude': '37.709896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155581117.0,5955_20190214,2019-02-14T00:00:00.000,96.0,Routine - Unscheduled,5955_20190214_103156,Permit license or inspection report not posted,Low Risk,5.0,7.0,6.0,9.0,28861.0,7.0
9730,5998,CENTRO LATINO DE SAN FRANCISCO,1656 15th St,San Francisco,CA,94103,37.766618,-122.421263,"{'longitude': '-122.421263', 'latitude': '37.766618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155868758.0,5998_20180409,2018-04-09T00:00:00.000,86.0,Routine - Unscheduled,5998_20180409_103123,Food in poor condition,Moderate Risk,19.0,4.0,7.0,8.0,28853.0,20.0
9739,2359,LA TRAVIATA,2854 MISSION St,San Francisco,CA,94110,37.751296,-122.418414,"{'longitude': '-122.418414', 'latitude': '37.751296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155280500.0,2359_20170706,2017-07-06T00:00:00.000,62.0,Routine - Unscheduled,2359_20170706_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk,19.0,4.0,7.0,2.0,28859.0,20.0
9740,68560,Wow Naan-N-Curry,642 Irving St,San Francisco,CA,94122,37.764128,-122.464961,"{'longitude': '-122.464961', 'latitude': '37.764128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155667225.0,68560_20180316,2018-03-16T00:00:00.000,90.0,Routine - Unscheduled,68560_20180316_103157,Food safety certificate or food handler card not available,Low Risk,12.0,8.0,11.0,11.0,56.0,14.0
9754,1003,RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,37.749128,-122.417402,"{'longitude': '-122.417402', 'latitude': '37.749128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155897712.0,1003_20160706,2016-07-06T00:00:00.000,88.0,Routine - Unscheduled,1003_20160706_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk,19.0,4.0,7.0,2.0,28859.0,20.0
9770,27799,Buckhorn Grill,845 Market St FE-5,San Francisco,CA,94103,37.784848,-122.406892,"{'longitude': '-122.406892', 'latitude': '37.784848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155979770.0,27799_20160711,2016-07-11T00:00:00.000,87.0,Routine - Unscheduled,27799_20160711_103131,Moderate risk vermin infestation,Moderate Risk,34.0,2.0,9.0,12.0,28853.0,34.0
9771,3252,LITTLE JOES PIZZA REST.,5006 MISSION St,San Francisco,CA,94112,37.718359,-122.439655,"{'longitude': '-122.439655', 'latitude': '37.718359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155333684.0,3252_20160725,2016-07-25T00:00:00.000,86.0,Routine - Unscheduled,3252_20160725_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,25.0,7.0,6.0,9.0,28861.0,28.0
9785,2002,PANDA EXPRESS,3251 20th Ave 250H,San Francisco,CA,94132,37.728497,-122.475639,"{'longitude': '-122.475639', 'latitude': '37.728497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155731403.0,2002_20160914,2016-09-14T00:00:00.000,98.0,Routine - Unscheduled,2002_20160914_103144,Unapproved or unmaintained equipment or utensils,Low Risk,14.0,8.0,4.0,1.0,64.0,16.0
9786,591,YOU SEE SUSHI,94 JUDAH St,San Francisco,CA,94122,37.762378,-122.462692,"{'longitude': '-122.462692', 'latitude': '37.762378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155684010.0,591_20180206,2018-02-06T00:00:00.000,89.0,Routine - Unscheduled,591_20180206_103102,Unclean hands or improper use of gloves,High Risk,12.0,5.0,11.0,1.0,56.0,14.0
9789,2347,LAS TINAJAS,2338 MISSION St,San Francisco,CA,94110,37.759567,-122.419185,"{'longitude': '-122.419185', 'latitude': '37.759567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155699933.0,2347_20181107,2018-11-07T00:00:00.000,86.0,Routine - Unscheduled,2347_20181107_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,19.0,4.0,7.0,2.0,28859.0,20.0
9796,62578,New Chef Hung's Restaurant,823 Clay St,San Francisco,CA,94108,37.794193,-122.406677,"{'longitude': '-122.406677', 'latitude': '37.794193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155396883.0,62578_20181130,2018-11-30T00:00:00.000,73.0,Routine - Unscheduled,62578_20181130_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,4.0,1.0,10.0,3.0,28857.0,6.0
9801,7678,Casa Thai Market,3020 16th St,San Francisco,CA,94103,37.765049,-122.420122,"{'longitude': '-122.420122', 'latitude': '37.765049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155433562.0,7678_20180212,2018-02-12T00:00:00.000,83.0,Routine - Unscheduled,7678_20180212_103133,Foods not protected from contamination,Moderate Risk,19.0,4.0,7.0,8.0,28853.0,20.0
9865,1154,SUNFLOWER RESTAURANT,506 Valencia St,San Francisco,CA,94103,37.764678,-122.421905,"{'longitude': '-122.421905', 'latitude': '37.764678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155625023.0,1154_20160912,2016-09-12T00:00:00.000,76.0,Routine - Unscheduled,1154_20160912_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,19.0,4.0,5.0,8.0,28859.0,20.0
9879,7689,UNOCAL 76  PACIFIC ENTERPRISES,999 OCEAN Ave,San Francisco,CA,94112,37.723133,-122.452707,"{'longitude': '-122.452707', 'latitude': '37.723133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155588296.0,7689_20190425,2019-04-25T00:00:00.000,96.0,Routine - Unscheduled,7689_20190425_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,24.0,8.0,4.0,9.0,28861.0,24.0
9910,1426,SWEET DELIGHT BAKERY,4476A MISSION,San Francisco,CA,94112,37.726117,-122.433817,"{'longitude': '-122.433817', 'latitude': '37.726117', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155336786.0,1426_20161026,2016-10-26T00:00:00.000,70.0,Routine - Unscheduled,1426_20161026_103103,High risk food holding temperature,High Risk,25.0,7.0,6.0,9.0,28861.0,28.0
9951,1926,LINCOLN PARK BAR AND GRILL,300 34th Ave,San Francisco,CA,94121,37.782971,-122.496324,"{'longitude': '-122.496324', 'latitude': '37.782971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155222254.0,1926_20171013,2017-10-13T00:00:00.000,84.0,Routine - Unscheduled,1926_20171013_103161,Low risk vermin infestation,Low Risk,15.0,6.0,2.0,11.0,55.0,17.0
9974,2627,BURGERMEISTER,138 Church St,San Francisco,CA,94114,37.768776,-122.429095,"{'longitude': '-122.429095', 'latitude': '37.768776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155432874.0,2627_20180530,2018-05-30T00:00:00.000,89.0,Routine - Unscheduled,2627_20180530_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,3.0,9.0,5.0,7.0,28862.0,5.0
9978,5805,ORTEGA ELEMENTARY SCHOOL,400 Sargent St,San Francisco,CA,94132,37.716156,-122.466248,"{'longitude': '-122.466248', 'latitude': '37.716156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155464726.0,5805_20170202,2017-02-02T00:00:00.000,96.0,Routine - Unscheduled,5805_20170202_103129,Insufficient hot water or running water,Moderate Risk,24.0,8.0,6.0,9.0,64.0,24.0
9982,37060,Halu,312 08th Ave,San Francisco,CA,94118,37.782576,-122.46648,"{'longitude': '-122.46648', 'latitude': '37.782576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155229165.0,37060_20190507,2019-05-07T00:00:00.000,85.0,Routine - Unscheduled,37060_20190507_103109,Unclean or unsanitary food contact surfaces,High Risk,11.0,6.0,2.0,11.0,54.0,11.0
9987,146,DEJA VU PIZZA & PASTA,3227 16th St,San Francisco,CA,94103,37.764713,-122.424709,"{'longitude': '-122.424709', 'latitude': '37.764713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155251600.0,146_20161017,2016-10-17T00:00:00.000,84.0,Routine - Unscheduled,146_20161017_103120,Moderate risk food holding temperature,Moderate Risk,19.0,4.0,5.0,8.0,28859.0,20.0
9989,37090,Basil Canteen,1489 FOLSOM St,San Francisco,CA,94103,37.772008,-122.413803,"{'longitude': '-122.413803', 'latitude': '37.772008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155553963.0,37090_20170629,2017-06-29T00:00:00.000,71.0,Routine - Unscheduled,37090_20170629_103133,Foods not protected from contamination,Moderate Risk,34.0,2.0,9.0,8.0,28853.0,34.0
9994,1021,LA SANTANECA DE LA MISSION,2815 MISSION St,San Francisco,CA,94110,37.751885,-122.418406,"{'longitude': '-122.418406', 'latitude': '37.751885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155282131.0,1021_20170912,2017-09-12T00:00:00.000,90.0,Routine - Unscheduled,1021_20170912_103157,Food safety certificate or food handler card not available,Low Risk,19.0,4.0,7.0,2.0,28859.0,20.0
10008,2750,HAMANO SUSHI,1332 CASTRO St,San Francisco,CA,94114,37.750778,-122.434065,"{'longitude': '-122.434065', 'latitude': '37.750778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155820825.0,2750_20170823,2017-08-23T00:00:00.000,84.0,Routine - Unscheduled,2750_20170823_103127,Noncompliance with HAACP plan or variance,Moderate Risk,22.0,4.0,5.0,2.0,28862.0,22.0
10014,19357,Original Buffalo Wings,2499 Lombard St,San Francisco,CA,94123,37.799095,-122.442457,"{'longitude': '-122.442457', 'latitude': '37.799095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155938181.0,19357_20180116,2018-01-16T00:00:00.000,69.0,Routine - Unscheduled,19357_20180116_103123,Food in poor condition,Moderate Risk,17.0,9.0,1.0,13.0,57.0,13.0
10031,66536,Cypress Grill,99 Harding Park Rd,San Francisco,CA,94132,37.723698,-122.495289,"{'longitude': '-122.495289', 'latitude': '37.723698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155664690.0,66536_20170303,2017-03-03T00:00:00.000,90.0,Routine - Unscheduled,66536_20170303_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,14.0,8.0,4.0,1.0,64.0,16.0
10041,4864,DRAGON CITY BAKERY & CAFE,2367 MISSION St,San Francisco,CA,94110,37.759174,-122.419066,"{'longitude': '-122.419066', 'latitude': '37.759174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155829718.0,4864_20160602,2016-06-02T00:00:00.000,86.0,Routine - Unscheduled,4864_20160602_103133,Foods not protected from contamination,Moderate Risk,19.0,4.0,7.0,2.0,28859.0,20.0
10054,290,BISTRO AIX,3340 STEINER St,San Francisco,CA,94123,37.800187,-122.437756,"{'longitude': '-122.437756', 'latitude': '37.800187', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155200100.0,290_20160615,2016-06-15T00:00:00.000,89.0,Routine - Unscheduled,290_20160615_103114,High risk vermin infestation,High Risk,17.0,9.0,1.0,13.0,57.0,13.0
10066,4959,THAT'S IT MARKET,2699 Mission St,San Francisco,CA,94110,37.753973,-122.418576,"{'longitude': '-122.418576', 'latitude': '37.753973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155289833.0,4959_20180718,2018-07-18T00:00:00.000,86.0,Routine - Unscheduled,4959_20180718_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk,19.0,4.0,7.0,2.0,28859.0,20.0
10069,3221,PASQUALES,700 IRVING St,San Francisco,CA,94122,37.764108,-122.465512,"{'longitude': '-122.465512', 'latitude': '37.764108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155662140.0,3221_20170627,2017-06-27T00:00:00.000,85.0,Routine - Unscheduled,3221_20170627_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,12.0,8.0,11.0,11.0,56.0,14.0
10074,1081,ARINELL PIZZA,509 VALENCIA St,San Francisco,CA,94110,37.764744,-122.421803,"{'longitude': '-122.421803', 'latitude': '37.764744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155251303.0,1081_20171106,2017-11-06T00:00:00.000,88.0,Routine - Unscheduled,1081_20171106_103131,Moderate risk vermin infestation,Moderate Risk,19.0,4.0,7.0,8.0,28859.0,20.0
10075,2627,BURGERMEISTER,138 Church St,San Francisco,CA,94114,37.768776,-122.429095,"{'longitude': '-122.429095', 'latitude': '37.768776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155432874.0,2627_20170105,2017-01-05T00:00:00.000,86.0,Routine - Unscheduled,2627_20170105_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,3.0,9.0,5.0,7.0,28862.0,5.0
10077,5999,The Salvation Army,1156 Valencia St,San Francisco,CA,94110,37.754397,-122.420915,"{'longitude': '-122.420915', 'latitude': '37.754397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155640260.0,5999_20180724,2018-07-24T00:00:00.000,90.0,Routine - Unscheduled,5999_20180724_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,19.0,4.0,5.0,2.0,28859.0,20.0
10079,67187,Chipotle Mexican Grill #1560,333 Jefferson St #104,San Francisco,CA,94133,37.807923,-122.417887,"{'longitude': '-122.417887', 'latitude': '37.807923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155503533.0,67187_20190117,2019-01-17T00:00:00.000,92.0,Routine - Unscheduled,67187_20190117_103144,Unapproved or unmaintained equipment or utensils,Low Risk,23.0,1.0,10.0,3.0,308.0,23.0
10081,13427,Extreme Pizza,3911 Alemany Bl.,San Francisco,CA,94132,37.711185,-122.46779,"{'longitude': '-122.46779', 'latitude': '37.711185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14150999800.0,13427_20180214,2018-02-14T00:00:00.000,94.0,Routine - Unscheduled,13427_20180214_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,24.0,8.0,4.0,9.0,64.0,24.0
10082,4860,Play  Field Cafe,1 Zoo Rd,San Francisco,CA,94132,37.73017,-122.502535,"{'longitude': '-122.502535', 'latitude': '37.73017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155757132.0,4860_20170411,2017-04-11T00:00:00.000,88.0,Routine - Unscheduled,4860_20170411_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,14.0,8.0,4.0,1.0,64.0,16.0
10083,6564,HWA LEI MARKET,2970 A 16th St,San Francisco,CA,94103,37.774722,-122.406761,"{'longitude': '-122.406761', 'latitude': '37.774722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155861618.0,6564_20180522,2018-05-22T00:00:00.000,82.0,Routine - Unscheduled,6564_20180522_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,34.0,2.0,9.0,14.0,28853.0,34.0
10084,1734,SAI JAI THAI,771 O'FARRELL St,San Francisco,CA,94109,37.785182,-122.417409,"{'longitude': '-122.417409', 'latitude': '37.785182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155675774.0,1734_20190226,2019-02-26T00:00:00.000,70.0,Routine - Unscheduled,1734_20190226_103132,Improper thawing methods,Moderate Risk,36.0,10.0,9.0,7.0,28858.0,36.0
10089,61736,Rosamunde Sausage Grill,2832 MISSION St,San Francisco,CA,94110,37.751587,-122.418444,"{'longitude': '-122.418444', 'latitude': '37.751587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155307170.0,61736_20180918,2018-09-18T00:00:00.000,92.0,Routine - Unscheduled,61736_20180918_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk,19.0,4.0,7.0,2.0,28859.0,20.0
10091,5844,CLARENDON ELEMENTARY SCHOOL,500 CLARENDON Ave,San Francisco,CA,94131,37.751552,-122.456517,"{'longitude': '-122.456517', 'latitude': '37.751552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155752796.0,5844_20170518,2017-05-18T00:00:00.000,91.0,Routine - Unscheduled,5844_20170518_103102,Unclean hands or improper use of gloves,High Risk,12.0,5.0,4.0,1.0,63.0,14.0
10094,69175,Mau Restaurant,665 Valencia St,San Francisco,CA,94110,37.762381,-122.42156,"{'longitude': '-122.42156', 'latitude': '37.762381', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155307517.0,69175_20170829,2017-08-29T00:00:00.000,76.0,Routine - Unscheduled,69175_20170829_103142,Unclean nonfood contact surfaces,Low Risk,19.0,4.0,7.0,8.0,28859.0,20.0
10102,61915,La Loma Produce Nos. 3 & 9 Inc,5652 MISSION St,San Francisco,CA,94112,37.710685,-122.447907,"{'longitude': '-122.447907', 'latitude': '37.710685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155589254.0,61915_20190109,2019-01-09T00:00:00.000,83.0,Routine - Unscheduled,61915_20190109_103120,Moderate risk food holding temperature,Moderate Risk,25.0,7.0,6.0,9.0,28861.0,28.0
10106,64940,The Grove-Hayes,301 Hayes St,San Francisco,CA,94102,37.777026,-122.421361,"{'longitude': '-122.421361', 'latitude': '37.777026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155623953.0,64940_20190109,2019-01-09T00:00:00.000,96.0,Routine - Unscheduled,64940_20190109_103120,Moderate risk food holding temperature,Moderate Risk,10.0,9.0,11.0,7.0,28852.0,9.0
10113,68909,Cafe La Flore,1340 Irving St,San Francisco,CA,94122,37.763798,-122.472422,"{'longitude': '-122.472422', 'latitude': '37.763798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155756525.0,68909_20180327,2018-03-27T00:00:00.000,96.0,Routine - Unscheduled,68909_20180327_103133,Foods not protected from contamination,Moderate Risk,12.0,8.0,11.0,11.0,56.0,14.0
10125,3038,TURK & LARKIN DELI,476 TURK St,San Francisco,CA,94102,37.782458,-122.416873,"{'longitude': '-122.416873', 'latitude': '37.782458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155776889.0,3038_20160620,2016-06-20T00:00:00.000,73.0,Routine - Unscheduled,3038_20160620_103114,High risk vermin infestation,High Risk,36.0,10.0,9.0,7.0,28852.0,36.0
10129,5955,SF CHRISTIAN DAY SCHOOL,25 WHITTIER St,San Francisco,CA,94112,37.709896,-122.448082,"{'longitude': '-122.448082', 'latitude': '37.709896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155581117.0,5955_20181207,2018-12-07T00:00:00.000,92.0,Routine - Unscheduled,5955_20181207_103133,Foods not protected from contamination,Moderate Risk,5.0,7.0,6.0,9.0,28861.0,7.0
10130,3165,HAN IL KWAN,1802 BALBOA St,San Francisco,CA,94121,37.776599,-122.478292,"{'longitude': '-122.478292', 'latitude': '37.776599', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14153598244.0,3165_20170323,2017-03-23T00:00:00.000,79.0,Routine - Unscheduled,3165_20170323_103142,Unclean nonfood contact surfaces,Low Risk,26.0,6.0,2.0,11.0,55.0,29.0
10134,4636,STARBUCKS COFFEE,3251 20th Ave,San Francisco,CA,94132,37.728497,-122.475639,"{'longitude': '-122.475639', 'latitude': '37.728497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155664956.0,4636_20161214,2016-12-14T00:00:00.000,94.0,Routine - Unscheduled,4636_20161214_103154,Unclean or degraded floors walls or ceilings,Low Risk,14.0,8.0,4.0,1.0,64.0,16.0
10138,68773,Nopalito,1224 9th Ave,San Francisco,CA,94122,37.765412,-122.466375,"{'longitude': '-122.466375', 'latitude': '37.765412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155430303.0,68773_20180214,2018-02-14T00:00:00.000,90.0,Routine - Unscheduled,68773_20180214_103161,Low risk vermin infestation,Low Risk,12.0,8.0,11.0,11.0,56.0,14.0
10139,5823,WEBSTER ELEMENTARY SCHOOL,465 MISSOURI St,San Francisco,CA,94107,37.760474,-122.396296,"{'longitude': '-122.396296', 'latitude': '37.760474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155695787.0,5823_20180202,2018-02-02T00:00:00.000,93.0,Routine - Unscheduled,5823_20180202_103107,Improper reheating of food,High Risk,29.0,3.0,8.0,10.0,28856.0,26.0
10144,5835,Rosa Parks Elementary School,1501 O'Farrell St,San Francisco,CA,94115,37.783604,-122.430141,"{'longitude': '-122.430141', 'latitude': '37.783604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155745519.0,5835_20171006,2017-10-06T00:00:00.000,96.0,Routine - Unscheduled,5835_20171006_103131,Moderate risk vermin infestation,Moderate Risk,41.0,9.0,11.0,13.0,29490.0,39.0
10145,36911,Royal Market & Bakery,5331 Geary Blvd,San Francisco,CA,94121,37.780383,-122.47673,"{'longitude': '-122.47673', 'latitude': '37.780383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155225550.0,36911_20170919,2017-09-19T00:00:00.000,87.0,Routine - Unscheduled,36911_20170919_103132,Improper thawing methods,Moderate Risk,26.0,6.0,2.0,11.0,55.0,29.0
10155,5301,Tacos San Buena,2598 Harrison St,San Francisco,CA,94110,37.749851,-122.415121,"{'longitude': '-122.415121', 'latitude': '37.749851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155550404.0,5301_20190304,2019-03-04T00:00:00.000,81.0,Routine - Unscheduled,5301_20190304_103156,Permit license or inspection report not posted,Low Risk,19.0,4.0,7.0,2.0,28859.0,20.0
10166,2397,PLOY #2 THAI CUISINE,1770 HAIGHT St,San Francisco,CA,94117,37.769458,-122.451354,"{'longitude': '-122.451354', 'latitude': '37.769458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155389224.0,2397_20170301,2017-03-01T00:00:00.000,74.0,Routine - Unscheduled,2397_20170301_103144,Unapproved or unmaintained equipment or utensils,Low Risk,9.0,5.0,11.0,15.0,29492.0,3.0
10167,69282,New Jumbo Seafood Restaurant,1532 NORIEGA St,San Francisco,CA,94122,37.754132,-122.480058,"{'longitude': '-122.480058', 'latitude': '37.754132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155681800.0,69282_20180417,2018-04-17T00:00:00.000,64.0,Routine - Unscheduled,69282_20180417_103144,Unapproved or unmaintained equipment or utensils,Low Risk,35.0,8.0,3.0,1.0,56.0,35.0
10172,5810,DENMAN MIDDLE SCHOOL,241 ONEIDA St,San Francisco,CA,94112,37.721825,-122.442876,"{'longitude': '-122.442876', 'latitude': '37.721825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155464535.0,5810_20180206,2018-02-06T00:00:00.000,94.0,Routine - Unscheduled,5810_20180206_103131,Moderate risk vermin infestation,Moderate Risk,25.0,7.0,6.0,9.0,28861.0,28.0
10175,2632,MARTHA & BROS COFFEE CO,745 CORTLAND Ave,San Francisco,CA,94110,37.738927,-122.414757,"{'longitude': '-122.414757', 'latitude': '37.738927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155647779.0,2632_20160729,2016-07-29T00:00:00.000,90.0,Routine - Unscheduled,2632_20160729_103154,Unclean or degraded floors walls or ceilings,Low Risk,2.0,7.0,7.0,2.0,28859.0,2.0
