,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
29791,62701,Wayfare Tavern,558 Sacramento St,San Francisco,CA,94111,37.793907,-122.402304,"{'longitude': '-122.402304', 'latitude': '37.793907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14150256062.0,62701_20161222,2016-12-22T00:00:00.000,78.0,Routine - Unscheduled,62701_20161222_103139,Improper food storage,Low Risk,4.0,1.0,10.0,3.0,28860.0,6.0
29792,3850,Thai House Express On Castro,599 Castro,San Francisco,CA,94114,37.759404,-122.434836,"{'longitude': '-122.434836', 'latitude': '37.759404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155865000.0,3850_20161215,2016-12-15T00:00:00.000,87.0,Routine - Unscheduled,3850_20161215_103120,Moderate risk food holding temperature,Moderate Risk,3.0,4.0,5.0,2.0,28862.0,5.0
29794,3870,LA ALTENA,3346 MISSION St,San Francisco,CA,94110,37.743206,-122.421546,"{'longitude': '-122.421546', 'latitude': '37.743206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155648415.0,3870_20180105,2018-01-05T00:00:00.000,90.0,Routine - Unscheduled,3870_20180105_103131,Moderate risk vermin infestation,Moderate Risk,2.0,7.0,7.0,2.0,28859.0,2.0
29802,5006,LA MEJOR BAKERY,3329 24th St,San Francisco,CA,94110,37.752156,-122.41916,"{'longitude': '-122.41916', 'latitude': '37.752156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155720251.0,5006_20170807,2017-08-07T00:00:00.000,92.0,Routine - Unscheduled,5006_20170807_103131,Moderate risk vermin infestation,Moderate Risk,19.0,4.0,7.0,2.0,28859.0,20.0
29803,4906,NEW STAR MARKET,269 14th St,San Francisco,CA,94103,37.768274,-122.419299,"{'longitude': '-122.419299', 'latitude': '37.768274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155860723.0,4906_20160524,2016-05-24T00:00:00.000,98.0,Routine - Unscheduled,4906_20160524_103150,Improper or defective plumbing,Low Risk,19.0,4.0,7.0,8.0,28853.0,20.0
29809,3895,Cable Car Restaurant,1040 Columbus Ave,San Francisco,CA,94133,37.803984,-122.415453,"{'longitude': '-122.415453', 'latitude': '37.803984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155744455.0,3895_20160729,2016-07-29T00:00:00.000,78.0,Routine - Unscheduled,3895_20160729_103139,Improper food storage,Low Risk,23.0,1.0,10.0,5.0,308.0,23.0
29821,628,EL BURRITO EXPRESS #2,1812 DIVISADERO St,San Francisco,CA,94115,37.786407,-122.440057,"{'longitude': '-122.440057', 'latitude': '37.786407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155774246.0,628_20180504,2018-05-04T00:00:00.000,74.0,Routine - Unscheduled,628_20180504_103139,Improper food storage,Low Risk,27.0,6.0,1.0,13.0,29490.0,30.0
29834,557,TASTEBUDS,600 05th Ave,San Francisco,CA,94118,37.77721,-122.462874,"{'longitude': '-122.462874', 'latitude': '37.77721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155669292.0,557_20160629,2016-06-29T00:00:00.000,85.0,Routine - Unscheduled,557_20160629_103147,Inadequate ventilation or lighting,Low Risk,11.0,6.0,2.0,11.0,54.0,11.0
29838,19373,Las Isletas,4508 03rd St,San Francisco,CA,94124,37.737021,-122.390043,"{'longitude': '-122.390043', 'latitude': '37.737021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155577698.0,19373_20170110,2017-01-10T00:00:00.000,63.0,Routine - Unscheduled,19373_20170110_103105,Improper cooling methods,High Risk,1.0,3.0,8.0,10.0,58.0,1.0
29861,7095,ABE'S MARKET,378 FILLMORE St,San Francisco,CA,94117,37.772822,-122.430498,"{'longitude': '-122.430498', 'latitude': '37.772822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155862576.0,7095_20171211,2017-12-11T00:00:00.000,92.0,Routine - Unscheduled,7095_20171211_103144,Unapproved or unmaintained equipment or utensils,Low Risk,10.0,9.0,11.0,7.0,29492.0,9.0
