Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,City,San Diego,City Treasurer,Collections Investigator II,False,False,,50170,60549,,46290,0,0,1169,47459,0,0,4371,17550,21921,N/A,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Public Utilities,Payroll Specialist II,False,False,,42349,51147,,42286,398,122,4637,47443,0,0,3938,6986,10924,N/A,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Transportation,Code Compliance Officer,False,False,,41309,49712,,46828,612,0,0,47440,6088,0,2870,21439,30397,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Parks & Recreation,Grounds Maintenance Worker II,False,False,,35235,41933,,39631,3727,0,4082,47440,3367,0,441,6764,10572,1.0% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Parks & Recreation,Grounds Maintenance Worker II,False,False,,35235,41933,,39054,736,0,7647,47437,0,0,3788,5339,9127,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Transportation,Utility Worker I,False,False,,33883,40269,,35984,2089,0,9356,47429,0,0,3503,505,4008,N/A,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Risk Management,Claims Aide,False,False,,41038,49421,,47636,0,0,-216,47420,5736,0,2872,13927,22535,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Public Utilities,Marine Biologist II,False,False,,68890,83782,,25097,395,18519,3409,47420,0,0,2308,5,2313,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Council District 4,Council Representative I,False,False,,18450,116334,,42441,0,0,4976,47417,0,0,3904,8096,12000,N/A,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
2021,City,San Diego,Parks & Recreation,Grounds Maintenance Worker II,False,False,,35235,41933,,41040,0,2419,3912,47371,0,0,2555,7069,9624,2.5% @ 55,www.sandiego.gov,1374790,06/28/2022,San Diego,,False,
